name	color
Light goldenrod yellow	#FAFAD2
Light gray	#D3D3D3
Light green	#90EE90
Light hot pink	#FFB3DE
Light khaki	#F0E68C
Light medium orchid	#D39BCB
Light moss green	#ADDFAD
Light orchid	#E6A8D7
Light pastel purple	#B19CD9
Light pink	#FFB6C1
Light red ochre	#E97451
Light salmon	#FFA07A
Light salmon pink	#FF9999
Light sea green	#20B2AA
Light sky blue	#87CEFA
Light slate gray	#778899
Light steel blue	#B0C4DE
Light taupe	#B38B6D
Light Thulian pink	#E68FAC
Light yellow	#FFFFE0
Lilac	#C8A2C8
Lime (color wheel)	#BFFF00
Lime (web) (X11 green)	#00FF00
Lime green	#32CD32
Limerick	#9DC209
Lincoln green	#195905
Linen	#FAF0E6
Lion	#C19A6B
Liseran Purple	#DE6FA1
Little boy blue	#6CA0DC
Liver	#674C47
Liver (dogs)	#B86D29
Liver (organ)	#6C2E1F
Liver chestnut	#987456
Livid	#6699CC
Lumber	#FFE4CD
Lust	#E62020
Magenta	#FF00FF
Magenta (Crayola)	#FF55A3
Magenta (dye)	#CA1F7B
Magenta (Pantone)	#D0417E
Magenta (process)	#FF0090
Magenta haze	#9F4576
Magic mint	#AAF0D1
Magnolia	#F8F4FF
Mahogany	#C04000
Maize	#FBEC5D
Majorelle Blue	#6050DC
Malachite	#0BDA51
Manatee	#979AAA
Mango Tango	#FF8243
Mantis	#74C365
Mardi Gras	#880085
Maroon (Crayola)	#C32148
Maroon (HTML/CSS)	#800000
Maroon (X11)	#B03060
Mauve	#E0B0FF
Mauve taupe	#915F6D
Mauvelous	#EF98AA
May green	#4C9141
Maya blue	#73C2FB
Meat brown	#E5B73B
Medium aquamarine	#66DDAA
Medium blue	#0000CD
Medium candy apple red	#E2062C
Medium carmine	#AF4035
Medium champagne	#F3E5AB
Medium electric blue	#035096
Medium jungle green	#1C352D
Medium lavender magenta	#DDA0DD
Medium orchid	#BA55D3
Medium Persian blue	#0067A5
Medium purple	#9370DB
Medium red-violet	#BB3385
Medium ruby	#AA4069
Medium sea green	#3CB371
Medium sky blue	#80DAEB
Medium slate blue	#7B68EE
Medium spring bud	#C9DC87
Medium spring green	#00FA9A
Medium taupe	#674C47
Medium turquoise	#48D1CC
Medium Tuscan red	#79443B
Medium vermilion	#D9603B
Medium violet-red	#C71585
Mellow apricot	#F8B878
Mellow yellow	#F8DE7E
Melon	#FDBCB4
Metallic Seaweed	#0A7E8C
Metallic Sunburst	#9C7C38
Mexican pink	#E4007C
Midnight blue	#191970
Midnight green (eagle green)	#004953
Mikado yellow	#FFC40C
Mindaro	#E3F988
Mint	#3EB489
Mint cream	#F5FFFA
Mint green	#98FF98
Misty rose	#FFE4E1
Moccasin	#FAEBD7
Mode beige	#967117
Moonstone blue	#73A9C2
Mordant red 19	#AE0C00
Moss green	#8A9A5B
Mountain Meadow	#30BA8F
Mountbatten pink	#997A8D
MSU Green	#18453B
Mughal green	#306030
Mulberry	#C54B8C
Mustard	#FFDB58
Myrtle green	#317873
Nadeshiko pink	#F6ADC6
Napier green	#2A8000
Naples yellow	#FADA5E
Navajo white	#FFDEAD
Navy	#000080
Navy purple	#9457EB
Neon Carrot	#FFA343
Neon fuchsia	#FE4164
Neon green	#39FF14
New Car	#214FC6
New York pink	#D7837F
Non-photo blue	#A4DDED
North Texas Green	#059033
Nyanza	#E9FFDB
Ocean Boat Blue	#0077BE
Ochre	#CC7722
Office green	#008000
Old burgundy	#43302E
Old gold	#CFB53B
Old heliotrope	#563C5C
Old lace	#FDF5E6
Old lavender	#796878
Old mauve	#673147
Old moss green	#867E36
Old rose	#C08081
Old silver	#848482
Olive	#808000
Olive Drab (#3)	#6B8E23
Olive Drab #7	#3C341F
Olivine	#9AB973
Onyx	#353839
Opera mauve	#B784A7
Orange (color wheel)	#FF7F00
Orange (Crayola)	#FF7538
Orange (Pantone)	#FF5800
Orange (RYB)	#FB9902
Orange (web)	#FFA500
Orange peel	#FF9F00
Orange-red	#FF4500
Orchid	#DA70D6
Orchid pink	#F2BDCD
Orioles orange	#FB4F14
Otter brown	#654321
Outer Space	#414A4C
Outrageous Orange	#FF6E4A
Oxford Blue	#002147
OU Crimson Red	#990000
Pakistan green	#006600
Palatinate blue	#273BE2
Palatinate purple	#682860
Pale aqua	#BCD4E6
Pale blue	#AFEEEE
Pale brown	#987654
Pale carmine	#AF4035
Pale cerulean	#9BC4E2
Pale chestnut	#DDADAF
Pale copper	#DA8A67
Pale cornflower blue	#ABCDEF
Pale gold	#E6BE8A
Pale goldenrod	#EEE8AA
Pale green	#98FB98
Pale lavender	#DCD0FF
Pale magenta	#F984E5
Pale pink	#FADADD
Pale plum	#DDA0DD
Pale red-violet	#DB7093
Pale robin egg blue	#96DED1
Pale silver	#C9C0BB
Pale spring bud	#ECEBBD
Pale taupe	#BC987E
Pale turquoise	#AFEEEE
Pale violet-red	#DB7093
Pansy purple	#78184A
Paolo Veronese green	#009B7D
Papaya whip	#FFEFD5
Paradise pink	#E63E62
Paris Green	#50C878
Pastel blue	#AEC6CF
Pastel brown	#836953
Pastel gray	#CFCFC4
Pastel green	#77DD77
Pastel magenta	#F49AC2
Pastel orange	#FFB347
Pastel pink	#DEA5A4
Pastel purple	#B39EB5
Pastel red	#FF6961
Pastel violet	#CB99C9
Pastel yellow	#FDFD96
Patriarch	#800080
Payne's grey	#536878
Peach	#FFE5B4
Peach	#FFCBA4
Peach-orange	#FFCC99
Peach puff	#FFDAB9
Peach-yellow	#FADFAD
Pear	#D1E231
Pearl	#EAE0C8
Pearl Aqua	#88D8C0
Pearly purple	#B768A2
Peridot	#E6E200
Periwinkle	#CCCCFF
Persian blue	#1C39BB
Persian green	#00A693
Persian indigo	#32127A
Persian orange	#D99058
Persian pink	#F77FBE
Persian plum	#701C1C
Persian red	#CC3333
Persian rose	#FE28A2
Persimmon	#EC5800
Peru	#CD853F
Phlox	#DF00FF
Phthalo blue	#000F89
Phthalo green	#123524
Picton blue	#45B1E8
Pictorial carmine	#C30B4E
Piggy pink	#FDDDE6
Pine green	#01796F
Pink	#FFC0CB
Pink (Pantone)	#D74894
Pink lace	#FFDDF4
Pink lavender	#D8B2D1
Pink-orange	#FF9966
Pink pearl	#E7ACCF
Pink Sherbet	#F78FA7
Pistachio	#93C572
Platinum	#E5E4E2
Plum	#8E4585
Plum (web)	#DDA0DD
Pomp and Power	#86608E
Popstar	#BE4F62
Portland Orange	#FF5A36
Powder blue	#B0E0E6
Princeton orange	#FF8F00
Prune	#701C1C
Prussian blue	#003153
Psychedelic purple	#DF00FF
Puce	#CC8899
Puce red	#722F37
Pullman Brown (UPS Brown)	#644117
Pumpkin	#FF7518
Purple (HTML)	#800080
Purple (Munsell)	#9F00C5
Purple (X11)	#A020F0
Purple Heart	#69359C
Purple mountain majesty	#9678B6
Purple navy	#4E5180
Purple pizzazz	#FE4EDA
Purple taupe	#50404D
Purpureus	#9A4EAE
Quartz	#51484F
Queen blue	#436B95
Queen pink	#E8CCD7
Quinacridone magenta	#8E3A59
Rackley	#5D8AA8
Radical Red	#FF355E
Rajah	#FBAB60
Raspberry	#E30B5D
Raspberry glace	#915F6D
Raspberry pink	#E25098
Raspberry rose	#B3446C
Raw umber	#826644
Razzle dazzle rose	#FF33CC
Razzmatazz	#E3256B
Razzmic Berry	#8D4E85
Red	#FF0000
Red (Crayola)	#EE204D
Red (Munsell)	#F2003C
Red (NCS)	#C40233
Red (Pantone)	#ED2939
Red (pigment)	#ED1C24
Red (RYB)	#FE2712
Red-brown	#A52A2A
Red devil	#860111
Red-orange	#FF5349
Red-purple	#E40078
Red-violet	#C71585
Redwood	#A45A52
Regalia	#522D80
Resolution blue	#002387
Rhythm	#777696
Rich black	#004040
Rich brilliant lavender	#F1A7FE
Rich carmine	#D70040
Rich electric blue	#0892D0
Rich lavender	#A76BCF
Rich lilac	#B666D2
Rich maroon	#B03060
Rifle green	#444C38
Roast coffee	#704241
Robin egg blue	#00CCCC
Rocket metallic	#8A7F80
Roman silver	#838996
Rose	#FF007F
Rose bonbon	#F9429E
Rose ebony	#674846
Rose gold	#B76E79
Rose madder	#E32636
Rose pink	#FF66CC
Rose quartz	#AA98A9
Rose red	#C21E56
Rose taupe	#905D5D
Rose vale	#AB4E52
Rosewood	#65000B
Rosso corsa	#D40000
Rosy brown	#BC8F8F
Royal azure	#0038A8
Royal blue	#002366
Royal blue	#4169E1
Royal fuchsia	#CA2C92
Royal purple	#7851A9
Royal yellow	#FADA5E
Ruber	#CE4676
Rubine red	#D10056
Ruby	#E0115F
Ruby red	#9B111E
Ruddy	#FF0028
Ruddy brown	#BB6528
Ruddy pink	#E18E96
Rufous	#A81C07
Russet	#80461B
Russian green	#679267
Russian violet	#32174D
Rust	#B7410E
Rusty red	#DA2C43
Sacramento State green	#00563F
Saddle brown	#8B4513
Safety orange (blaze orange)	#FF6700
Safety yellow	#EED202
Saffron	#F4C430
Sage	#BCB88A
St. Patrick's blue	#23297A
Salmon	#FA8072
Salmon pink	#FF91A4
Sand	#C2B280
Sand dune	#967117
Sandstorm	#ECD540
Sandy brown	#F4A460
Sandy taupe	#967117
Sangria	#92000A
Sap green	#507D2A
Sapphire	#0F52BA
Sapphire blue	#0067A5
Satin sheen gold	#CBA135
Scarlet	#FF2400
Scarlet	#FD0E35
Schauss pink	#FF91AF
School bus yellow	#FFD800
Screamin' Green	#76FF7A
Sea blue	#006994
Sea green	#2E8B57
Seal brown	#321414
Seashell	#FFF5EE
Selective yellow	#FFBA00
Sepia	#704214
Shadow	#8A795D
Shadow blue	#778BA5
Shampoo	#FFCFF1
Shamrock green	#009E60
Sheen Green	#8FD400
Shimmering Blush	#D98695
Shocking pink	#FC0FC0
Shocking pink (Crayola)	#FF6FFF
Sienna	#882D17
Silver	#C0C0C0
Silver chalice	#ACACAC
Silver Lake blue	#5D89BA
Silver pink	#C4AEAD
Silver sand	#BFC1C2
Sinopia	#CB410B
Skobeloff	#007474
Sky blue	#87CEEB
Sky magenta	#CF71AF
Slate blue	#6A5ACD
Slate gray	#708090
Smalt (Dark powder blue)	#003399
Smitten	#C84186
Smoke	#738276
Smokey topaz	#933D41
Smoky black	#100C08
Snow	#FFFAFA
Soap	#CEC8EF
Solid pink	#893843
Sonic silver	#757575
Spartan Crimson	#9E1316
Space cadet	#1D2951
Spanish bistre	#807532
Spanish blue	#0070B8
Spanish carmine	#D10047
Spanish crimson	#E51A4C
Spanish gray	#989898
Spanish green	#009150
Spanish orange	#E86100
Spanish pink	#F7BFBE
Spanish red	#E60026
Spanish sky blue	#00FFFF
Spanish violet	#4C2882
Spanish viridian	#007F5C
Spiro Disco Ball	#0FC0FC
Spring bud	#A7FC00
Spring green	#00FF7F
Star command blue	#007BB8
Steel blue	#4682B4
Steel pink	#CC33CC
Stil de grain yellow	#FADA5E
Stizza	#990000
Stormcloud	#4F666A
Straw	#E4D96F
Strawberry	#FC5A8D
Sunglow	#FFCC33
Sunray	#E3AB57
Sunset	#FAD6A5
Sunset orange	#FD5E53
Super pink	#CF6BA9
Tan	#D2B48C
Tangelo	#F94D00
Tangerine	#F28500
Tangerine yellow	#FFCC00
Tango pink	#E4717A
Taupe	#483C32
Taupe gray	#8B8589
Tea green	#D0F0C0
Tea rose	#F88379
Tea rose	#F4C2C2
Teal	#008080
Teal blue	#367588
Teal deer	#99E6B3
Teal green	#00827F
Telemagenta	#CF3476
Tenné	#CD5700
Terra cotta	#E2725B
Thistle	#D8BFD8
Thulian pink	#DE6FA1
Tickle Me Pink	#FC89AC
Tiffany Blue	#0ABAB5
Tiger's eye	#E08D3C
Timberwolf	#DBD7D2
Titanium yellow	#EEE600
Tomato	#FF6347
Toolbox	#746CC0
Topaz	#FFC87C
Tractor red	#FD0E35
Trolley Grey	#808080
Tropical rain forest	#00755E
True Blue	#0073CF
Tufts Blue	#417DC1
Tulip	#FF878D
Tumbleweed	#DEAA88
Turkish rose	#B57281
Turquoise	#40E0D0
Turquoise blue	#00FFEF
Turquoise green	#A0D6B4
Tuscan	#FAD6A5
Tuscan brown	#6F4E37
Tuscan red	#7C4848
Tuscan tan	#A67B5B
Tuscany	#C09999
Twilight lavender	#8A496B
Tyrian purple	#66023C
UA blue	#0033AA
UA red	#D9004C
Ube	#8878C3
UCLA Blue	#536895
UCLA Gold	#FFB300
UFO Green	#3CD070
Ultramarine	#120A8F
Ultramarine blue	#4166F5
Ultra pink	#FF6FFF
Ultra red	#FC6C85
Umber	#635147
Unbleached silk	#FFDDCA
United Nations blue	#5B92E5
University of California Gold	#B78727
Unmellow yellow	#FFFF66
UP Forest green	#014421
UP Maroon	#7B1113
Upsdell red	#AE2029
Urobilin	#E1AD21
USAFA blue	#004F98
USC Cardinal	#990000
USC Gold	#FFCC00
University of Tennessee Orange	#F77F00
Utah Crimson	#D3003F
Vanilla	#F3E5AB
Vanilla ice	#F38FA9
Vegas gold	#C5B358
Venetian red	#C80815
Verdigris	#43B3AE
Vermilion	#E34234
Vermilion	#D9381E
Veronica	#A020F0
Violet	#8F00FF
Violet (color wheel)	#7F00FF
Violet (RYB)	#8601AF
Violet (web)	#EE82EE
Violet-blue	#324AB2
Violet-red	#F75394
Viridian	#40826D
Viridian green	#009698
Vista blue	#7C9ED9
Vivid auburn	#922724
Vivid burgundy	#9F1D35
Vivid cerise	#DA1D81
Vivid orchid	#CC00FF
Vivid sky blue	#00CCFF
Vivid tangerine	#FFA089
Vivid violet	#9F00FF
Warm black	#004242
Waterspout	#A4F4F9
Wenge	#645452
Wheat	#F5DEB3
White	#FFFFFF
White smoke	#F5F5F5
Wild blue yonder	#A2ADD0
Wild orchid	#D470A2
Wild Strawberry	#FF43A4
Wild watermelon	#FC6C85
Willpower orange	#FD5800
Windsor tan	#A75502
Wine	#722F37
Wine dregs	#673147
Wisteria	#C9A0DC
Wood brown	#C19A6B
Xanadu	#738678
Yale Blue	#0F4D92
Yankees blue	#1C2841
Yellow	#FFFF00
Yellow (Crayola)	#FCE883
Yellow (Munsell)	#EFCC00
Yellow (NCS)	#FFD300
Yellow (Pantone)	#FEDF00
Yellow (process)	#FFEF00
Yellow (RYB)	#FEFE33
Yellow-green	#9ACD32
Yellow Orange	#FFAE42
Yellow rose	#FFF000
Zaffre	#0014A8
Zinnwaldite brown	#2C1608
Zomp	#39A78E