name	color	
Abricot	#E67E30
Absinthe	#7FDD4C
Acajou	#88421D
Aigue-marine	#79F8F8
Aile de corbeau (cheveux)	#000
Albâtre	#FEFEFE
Alezan (chevaux)	#A76726
Amande	#82C46C
Amarante	#91283B
Ambre jaune	#F0C30
Ambre rouge	#AD390E
Améthyste	#884DA7
Anthracite	#303030
Aquilain (chevaux)	#AD4F9
Ardoise	#5A5E6B
Argent	#CECECE
Argent (héraldique)[1]	#FFFFFF
Argile	#EFEFEF
Asperge	#7BA05B
Aubergine	#37028
Auburn (cheveux)	#9D3E0C
Aurore	#FFCB60
Avocat	#56823
Azur	#07FFF
Azur (héraldique)	#1E7FCB
Azur brume	#F0FFFF
Azur clair	#74D0F1
Azurin	#A9EAFE
Baillet (chevaux vieilli)	#AE642D
Banane	#D1B66
Basané (teint)	#8B6C42
Beige	#C8AD7F
Beige clair	#F5F5DC
Beigeasse (péjoratif)	#AFA77B
Beurre	#F0E36B
Beurre frais	#FFF48D
Bis	#766F64
Bis (héraldique)	#F1E2BE
Bisque	#FFE4C4
Bistre	#856D4D
Bitume	#4E3D28
Blanc	#FFFFFF
Blanc cassé	#FEFEE2
Blanc d'argent (pigment) ou de plomb	#FEFEFE
Blanc d'Espagne (pigment)	#FEFDF0
Blanc de lait	#FBFCFA
Blanc de Meudon ou de Troyes (pigment)	#FEFDF0
Blanc de zinc (pigment)	#F6FEFE
Blanc lunaire	#F4FEFE
Blé	#E8D630
Blet	#5B3C11
Bleu acier	#3A8EBA
Bleu barbeau ou bleuet	#5472AE
Bleu canard	#48B9A
Bleu céleste	#26C4EC
Bleu charrette	#8EA2C6
Bleu ciel	#77B5FE
Bleu de cobalt (pigment)	#22427C
Bleu de minuit	#03366
"Bleu de Prusse (pigment)	 de Berlin ou bleu hussard"	#24445C
Bleu des mers du sud	#0CCCB
Bleu dragée	#DFF2FF
Bleu électrique	#2C75FF
Bleu fumée	#BBD2E1
Bleu givré	#80D0D0
Bleu guède	#56739A
Bleu Klein	#02FA7
Bleu Majorelle	#6050DC
Bleu nuit	#0F56B
Bleu outremer	#1B19B
Bleu paon	#67790
Bleu Persan	#660FF
Bleu pétrole	#1D4851
Bleu primaire en synthèse additive	#00FF
Bleu roi ou de France	#318CE7
Bleu turquin	#425B8A
Blond vénitien (cheveux)	#E7A854
Blond (cheveux)	#E2BC74
Bordeaux	#6D71A
Bourgogne	#6B0D0D
Bouton d'or	#FCDC12
Brique	#842E1B
Bronze	#614E1A
Brou de noix	#3F224
Brun (cheveux)	#5B3C11
Brun clair (cheveux)	#CD853F
Bureau	#6B5731
Byzantin	#BD33A4
Byzantium	#702963
Caca d'oie	#CDCD0D
Cacao	#614B3A
Cachou	#2F1B0C
Cæruléum	#357AB7
Café	#462E1
Café au lait	#785E2F
Cannelle	#7E5835
Capucine	#FF5E4D
Caramel	#7E330
Carmin	#96018
Carnation (héraldique) ou Carné (botanique)	#FEC3AC
Carotte	#F4661B
Cassis	#3A20D
Cerise	#DE3163
Cerise Hollywood	#F40A1
Cerise profonde	#DA3287
Cerise rose	#EC3B83
Céruse (pigment)	#FEFEFE
Chair	#FEC3AC
Chamois	#D0C07A
Champagne	#FBF2B7
Charbonneux	#0010
Chartreuse	#7FFF0
Châtaigne	#806D5A
Châtain (cheveux)	#8B6C42
Chaudron	#85530F
Chenu (cheveux)	#FEFEFE
Chocolat	#5A3A22
Cinabre	#DB172
Citron	#F7FF3C
Citrouille	#DF6D14
Clarissimo (cigare)	#B9B276
Claro (cigare)	#845A3B
Claro claro (cigare)	#BA9B61
Colombin (vieilli)	#6A455D
Colorado (cigare)	#703516
Colorado claro (cigare)	#6A4B21
Coquelicot	#C680
Coquille d'œuf	#FDE9E0
Corail	#E73E1
Cramoisi	#DC143C
Crème	#FDF1B8
Cuisse de nymphe	#FEE7F0
Cuisse de nymphe émue	#FF69B4
Cuivre	#B3670
Cyan	#2BFAFA
Cyan primaire en synthèse soustractive	#0FFFF
Denim	#1560BD
Dium (IPJ)	#0B1616
Ébène	#000
Écarlate	#ED00
Écru	#FEFEE0
Émeraude	#1D758
Étain oxydé	#BABABA
Étain pur	#EDEDED
Fauve	#AD4F9
Fer	#848484
Feu	#FF491
Feuille morte	#99512B
Flave	#E6E697
Fraise	#BF3030
Fraise écrasée	#A42424
Framboise	#C72C48
Framboise rose	#E25098
Fuchsia	#FD3F92
Fuchsia de mode	#F40A1
Fuchsia du web	#FF0FF
Fuchsia neon	#FE59C2
Fuchsia profonde	#C154C1
Garance	#EE1010
Glauque	#649B88
Glycine	#C9A0DC
Grège	#BBAE98
Grenadine	#E9383F
Grenat	#6E0B14
Gris	#606060
Gris acier	#AFAFAF
Gris de lin	#D2CAEC
Gris de maure	#685E43
Gris de Payne	#677179
Gris fer	#7F7F7F
Gris perle	#CECECE
Gris tourdille (chevaux)	#C1BFB1
Groseille	#CF0A1D
Gueules (héraldique)	#E21313
Havane	#947F60
Héliotrope	#DF73FF
Hoto	#000
Incarnadin	#FE96A0
Incarnat	#FF6F7D
Indigo chaud	#791CF8
Indigo du web	#4B082
Indigo électrique	#6F0FF
Indigo (teinture)	#2E06C
Isabelle (chevaux)	#785E2F
Ivoire	#FFFFD4
Jade	#87E990
Jais	#000
Jaune primaire en synthèse soustractive	#FFFF0
Jaune auréolin	#FDEE0
Jaune bouton d’or	#F6DC12
Jaune canari	#E7F00D
Jaune chartreuse	#DFFF0
Jaune d'or	#EFD87
Jaune chrome (pigment)	#EDFF0C
Jaune de Mars	#EED153
Jaune de Naples (pigment)	#FFF0BC
Jaune impérial	#FFE436
Jaune mimosa	#FEF86C
Jaune poussin	#F7E35F
Kaki	#94812B
Lapis-lazuli	#26619C
Lavallière (reliure)	#8F5922
Lavande	#9683EC
Lie de vin	#AC1E44
Lilas	#B666D2
Lin	#FAF0E6
Maduro (cigare)	#372F25
Maduro colorado (cigare)	#5B3C11
Magenta fuchsia (encre)	#DB073
Magenta primaire en synthèse soustractive	#FF0FF
Magenta foncé	#80080
Maïs	#FFDE75
Malachite	#1FA055
Mandarine	#FEA347
Marine	#3224C
Marron	#58290
Mastic	#B3B191
Mauve (couleur)	#D473D4
Melon	#DE9816
Menthe	#16B84E
Menthe à l'eau	#54F98D
Miel	#DAB30A
Mordoré	#87591A
Moreau (chevaux)	#000
Moutarde	#C7CF0
Nacarat	#FC5D5D
Nankin	#F7E269
Neige	#FEFEFE
Noir	#000
Noir animal	#000
Noir charbon	#0010
Noir d'aniline	#120D16
Noir d'encre	#000
Noir d'ivoire (pigment)	#000
Noir de carbone (pigment)	#130E0A
Noir de fumée (pigment)	#130E0A
Noir de jais	#000
"Noiraud (teint	 cheveux)"	#2F1E0E
Noisette	#955628
Ocre jaune	#DFAF2C
Ocre rouge	#DD985C
Olive	#708D23
Opale	#66CCCC
Opalin	#F2FFFF
Or	#FFD70
Orange	#FF7F0
Orange brûlée	#CC550
Orchidée	#DA70D6
Orpiment	#FCD21C
Orpin de Perse	#FCD21C
Oscuro (cigare)	#29217
Paille	#FEE347
Papaye	#FFEFD5
Papier bulle	#EDD38C
Parme	#CFA0E9
Passe-velours	#91283B
Pastel	#56739A
Pêche	#FDBFB7
Pelure d'oignon (œnologie)	#D58490
Pervenche	#CCCCFF
Pinchard (chevaux vieilli)	#CCCCCC
Pistache	#BEF574
Platine	#FAF0C5
Plomb	#798081
Poil de chameau	#B67823
Ponceau	#C680
Pourpre (héraldique)	#9E0E40
Prasin	#4CA66B
Prune	#811453
Puce	#4E169
Queue-de-renard	#91283B
Queue-de-vache clair	#C3B470
Queue-de-vache foncé	#A89874
Réglisse	#2D241E
Rose	#FD6C9E
Rose balais (minéraux)	#C4698F
Rose bonbon	#F9429E
Rose brillant	#FF55A3
Rose chaud	#FF69B4
Rose dragée	#FEBFD2
Rose du web	#FFC0CB
Rose fuchsia	#FD3F92
Rose Mountbatten	#997A8D
Rose Persan	#F77FBE
Rose Persan vif	#FE28A2
Rose profonde	#FF14C1
Rose razzle dazzle	#FF33CC
Rose shocking	#FC0FC0
Rose thé	#FF866A
Rose ultra	#FF6FFF
Rose vif	#FF07F
Rouge primaire en synthèse additive	#FF00
Rouge anglais	#F7230C
Rouge Bismarck	#A5260A
Rouge cardinal	#B82010
Rouge cerise	#BB0B0B
Rouge d'alizarine (pigment)	#E32636
Rouge d'Andrinople	#A9111
Rouge d'aniline	#ED00
Rouge de Falun	#801818
Rouge de Mars (pigment)	#F7230C
Rouge écrevisse	#BC201
Rouge feu	#FE1B0
Rouge Sokai	#92017
Rouge-violet	#C71585
Rouge sang	#8566
Rouge tomette	#AE4A34
Rouge turc	#A9111
Rouille	#985717
Roux	#AD4F9
Rubis	#E0115F
Sable	#E0CDA9
Sable (héraldique)	#000
Safran	#F3D617
Safre	#131B4
Sang de bœuf	#7380
Sanguine (héraldique)	#8566
Saphir	#131B4
Sarcelle	#08E8E
Saumon	#F88E55
Saumon rose	#FF91A4
Senois (héraldique)	#8D4024
Sépia	#AE8964
Sinople (héraldique)	#149414
Smalt	#03399
Smaragdin	#1D758
Soufre	#FFFF6B
Souris	#9E9E9E
Tabac	#9F551E
Tangerine (couleur)	#FF7F0
Tanné (héraldique)	#A7552
Taupe	#463F32
Terre d'ombre	#926D27
Terre de Sienne	#8A3324
Terre de Sienne brûlée	#E97451
Tilleul	#4E169
Tomate	#DE2916
Topaze	#FAEA73
Tourterelle	#BBACAC
Turquoise	#25FDE9
Vanille	#E1CE9A
Ventre de biche	#E9C9B1
Vermeil	#FF921
Vermillon	#DB172
Vert primaire en synthèse additive	#0FF0
Vert anis	#9FE855
Vert bouteille	#96A9
Vert céladon	#83A697
Vert chartreuse	#C2F732
Vert d'eau	#B0F2B6
Vert de chrome ou anglais (pigment)	#18391E
Vert-de-gris	#95A595
Vert de Hooker	#1B4F8
Vert de vessie	#22780F
Vert épinard	#175732
Vert gazon ou herbe	#3A9D23
Vert impérial	#0561B
Vert kaki	#798933
Vert lichen	#85C17E
Vert lime	#9EFD38
Vert mélèze	#386F48
Vert militaire	#596643
Vert mousse	#679F5A
Vert opaline	#97DFC6
Vert perroquet	#3AF24B
Vert pin	#1796F
Vert poireau	#4CA66B
Vert pomme	#34C924
Vert prairie	#57D53B
Vert printemps	#0FF7F
Vert sapin	#95228
Vert sauge	#689D71
Vert tilleul	#A5D152
Vert Véronèse (pigment)	#5A6521
Violet	#7F0FF
Violet de Bayeux	#682145
Violet d'évêque	#723E64
Violine	#A1684
Viride	#40826D
Zinzolin	#6C0277